epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2983.11,1.33333,0.64672,1.41527,0.92947,0.87894,0.93566,0.57601,1.35545,0.70262,1.71168,0.005842,0.005842,0.005842
44,3051.13,1.33278,0.64607,1.41665,0.95031,0.88231,0.9472,0.60146,1.28775,0.663,1.66039,0.005743,0.005743,0.005743
45,3120.59,1.32566,0.6416,1.41309,0.93491,0.87738,0.93988,0.58885,1.33693,0.67585,1.69601,0.005644,0.005644,0.005644
46,3189.4,1.32252,0.64104,1.41164,0.93846,0.87614,0.93885,0.57835,1.36253,0.67803,1.71633,0.005545,0.005545,0.005545
47,3257.5,1.31995,0.63493,1.40257,0.93625,0.87377,0.93872,0.57756,1.35331,0.68906,1.71083,0.005446,0.005446,0.005446
48,3328.22,1.31781,0.63781,1.41313,0.94285,0.89472,0.9491,0.59633,1.31296,0.64876,1.68395,0.005347,0.005347,0.005347
49,3396.84,1.31598,0.63139,1.40497,0.94412,0.88936,0.94959,0.59856,1.30376,0.64632,1.67215,0.005248,0.005248,0.005248
50,3465.44,1.31289,0.63219,1.4015,0.94436,0.89075,0.94968,0.59573,1.30287,0.64588,1.6733,0.005149,0.005149,0.005149
51,3536.14,1.31146,0.62776,1.40328,0.93884,0.89147,0.94589,0.59088,1.32233,0.65118,1.68988,0.00505,0.00505,0.00505
52,3605.12,1.3103,0.62307,1.39628,0.941,0.88774,0.94579,0.58568,1.34741,0.65866,1.70563,0.004951,0.004951,0.004951
53,3674.24,1.3076,0.62439,1.39843,0.94493,0.88671,0.94594,0.58651,1.33782,0.65245,1.69771,0.004852,0.004852,0.004852
54,3742.73,1.30312,0.6234,1.39745,0.93963,0.89232,0.94533,0.59625,1.30798,0.64893,1.67592,0.004753,0.004753,0.004753
55,3812.5,1.30035,0.62257,1.3967,0.94994,0.89388,0.94839,0.59973,1.30661,0.64124,1.67449,0.004654,0.004654,0.004654
56,3879.62,1.30684,0.61839,1.39712,0.94445,0.88881,0.9464,0.59501,1.31839,0.64146,1.68268,0.004555,0.004555,0.004555
57,3948.72,1.30185,0.61614,1.39875,0.9413,0.88858,0.94627,0.59148,1.33143,0.64391,1.692,0.004456,0.004456,0.004456
58,4018.4,1.3007,0.61747,1.39619,0.94405,0.88822,0.94579,0.59159,1.32958,0.64105,1.69289,0.004357,0.004357,0.004357
59,4088.2,1.28933,0.6116,1.38876,0.94463,0.89256,0.94675,0.59403,1.32735,0.64178,1.69053,0.004258,0.004258,0.004258
60,4155.92,1.29295,0.61348,1.38923,0.94876,0.89438,0.95086,0.59795,1.31248,0.62838,1.67891,0.004159,0.004159,0.004159
61,4223.28,1.29136,0.61269,1.39117,0.94723,0.8929,0.9508,0.59736,1.31034,0.6289,1.67508,0.00406,0.00406,0.00406
62,4289.34,1.28578,0.60927,1.38745,0.94751,0.89171,0.95052,0.59964,1.30315,0.62427,1.6693,0.003961,0.003961,0.003961
63,4358.83,1.28826,0.60319,1.38671,0.9468,0.89135,0.94888,0.59913,1.30256,0.62873,1.66907,0.003862,0.003862,0.003862
64,4427.65,1.28729,0.60641,1.39027,0.93911,0.89232,0.94733,0.59551,1.31182,0.63057,1.67624,0.003763,0.003763,0.003763
65,4496.2,1.28156,0.60234,1.37769,0.93958,0.8893,0.94668,0.59363,1.31775,0.63184,1.6818,0.003664,0.003664,0.003664
66,4563.39,1.28305,0.60001,1.38389,0.94438,0.88769,0.94711,0.59489,1.31605,0.62954,1.67999,0.003565,0.003565,0.003565
67,4630.63,1.27315,0.59762,1.37383,0.94317,0.88965,0.94705,0.59699,1.30748,0.62661,1.67473,0.003466,0.003466,0.003466
68,4697.69,1.27582,0.59682,1.37848,0.94093,0.89022,0.94649,0.59612,1.31061,0.63071,1.67762,0.003367,0.003367,0.003367
69,4765.49,1.27303,0.59486,1.37592,0.9407,0.89235,0.948,0.59953,1.30585,0.62652,1.67263,0.003268,0.003268,0.003268
70,4834.29,1.27359,0.59667,1.37842,0.94216,0.89376,0.94844,0.60013,1.3022,0.62371,1.66849,0.003169,0.003169,0.003169
71,4903.53,1.27029,0.59203,1.37555,0.93764,0.89474,0.94667,0.60003,1.30202,0.6247,1.66892,0.00307,0.00307,0.00307
72,5303.22,1.2713,0.59384,1.3748,0.94024,0.89593,0.94783,0.59968,1.30059,0.62418,1.66784,0.002971,0.002971,0.002971
73,5371.22,1.26309,0.58621,1.36382,0.93846,0.894,0.94702,0.59872,1.30422,0.62621,1.67091,0.002872,0.002872,0.002872
74,5438.59,1.2592,0.58905,1.37019,0.93624,0.8934,0.94592,0.59718,1.30605,0.6292,1.67186,0.002773,0.002773,0.002773
75,5509.44,1.25996,0.58125,1.36891,0.93647,0.89308,0.94561,0.59702,1.30675,0.62843,1.67263,0.002674,0.002674,0.002674
76,5576.21,1.25588,0.58053,1.36364,0.9388,0.89241,0.94612,0.59707,1.30705,0.62818,1.67238,0.002575,0.002575,0.002575
77,5644.53,1.25207,0.58101,1.35803,0.93697,0.89256,0.94513,0.59655,1.30716,0.62675,1.67245,0.002476,0.002476,0.002476
78,5713.62,1.26199,0.58206,1.37238,0.93926,0.89316,0.94588,0.59652,1.30521,0.62506,1.67053,0.002377,0.002377,0.002377
79,5782.19,1.25858,0.58031,1.36536,0.94077,0.8934,0.94597,0.59807,1.30293,0.62262,1.66856,0.002278,0.002278,0.002278
80,5850.23,1.25801,0.58027,1.36382,0.94102,0.89358,0.94671,0.59706,1.30603,0.62373,1.67097,0.002179,0.002179,0.002179
81,5918.69,1.25173,0.57531,1.36057,0.94037,0.89286,0.94588,0.59722,1.30877,0.62397,1.67272,0.00208,0.00208,0.00208
82,5985.15,1.24661,0.5737,1.36398,0.94077,0.89345,0.94653,0.5961,1.31084,0.62442,1.67454,0.001981,0.001981,0.001981
83,6060.62,1.2479,0.57447,1.35714,0.942,0.89405,0.94673,0.59625,1.31072,0.62375,1.67443,0.001882,0.001882,0.001882
84,6131.44,1.23951,0.57036,1.34952,0.94064,0.89322,0.94621,0.59658,1.31063,0.62345,1.67436,0.001783,0.001783,0.001783
85,6199.43,1.23863,0.56757,1.35058,0.94005,0.89328,0.94589,0.59689,1.31042,0.62339,1.67405,0.001684,0.001684,0.001684
86,6267.21,1.23352,0.56689,1.34438,0.94052,0.89333,0.94608,0.59688,1.31123,0.62287,1.67468,0.001585,0.001585,0.001585
87,6336.89,1.23528,0.56916,1.35273,0.94038,0.89298,0.94607,0.59707,1.31097,0.62289,1.67439,0.001486,0.001486,0.001486
88,6406.03,1.23085,0.56372,1.34143,0.94046,0.8923,0.94619,0.5968,1.31253,0.62292,1.67558,0.001387,0.001387,0.001387
89,6474.92,1.23093,0.56369,1.34904,0.94123,0.89122,0.94614,0.59668,1.31313,0.62278,1.67586,0.001288,0.001288,0.001288
90,6543.42,1.22486,0.56009,1.34501,0.94095,0.89053,0.94569,0.59643,1.31409,0.62257,1.67677,0.001189,0.001189,0.001189
91,6612.54,1.22873,0.56275,1.34549,0.94148,0.89015,0.94611,0.59648,1.31427,0.62179,1.67679,0.00109,0.00109,0.00109
92,6680.34,1.22748,0.5603,1.34913,0.94094,0.88906,0.94598,0.59649,1.31425,0.62108,1.67665,0.000991,0.000991,0.000991
93,6750.41,1.22918,0.55968,1.34447,0.94017,0.88966,0.94594,0.59601,1.31558,0.62148,1.67769,0.000892,0.000892,0.000892
94,6827.23,1.22551,0.5576,1.34486,0.94073,0.88894,0.9459,0.59575,1.31658,0.62149,1.67834,0.000793,0.000793,0.000793
95,6905.18,1.22291,0.5575,1.33973,0.94024,0.88877,0.9457,0.59551,1.31734,0.62175,1.67902,0.000694,0.000694,0.000694
96,6981.6,1.22102,0.5561,1.34288,0.94029,0.88777,0.94568,0.59492,1.3184,0.62192,1.67984,0.000595,0.000595,0.000595
97,7058.22,1.21803,0.55367,1.34237,0.94026,0.88725,0.9457,0.5949,1.31945,0.62181,1.68073,0.000496,0.000496,0.000496
98,7135.59,1.21253,0.55072,1.33415,0.94091,0.88796,0.94595,0.59522,1.3195,0.62147,1.68064,0.000397,0.000397,0.000397
99,7210.83,1.21566,0.5509,1.33697,0.94223,0.88804,0.94604,0.59547,1.31939,0.6211,1.68057,0.000298,0.000298,0.000298
100,7286.88,1.21896,0.55229,1.33635,0.94077,0.88858,0.94581,0.59503,1.31993,0.62135,1.681,0.000199,0.000199,0.000199
